21 November 2007 12:00:13 PM

MD
  C++ version

  A molecular dynamics program, which has been
  modified to include OpenMP directives.
  The OpenMP directives allow the program to be
  run in parallel.


  The number of processors available:
  OMP_GET_NUM_PROCS () =    1

  The number of threads available:
  OMP_GET_NUM_THREADS () =  1

  This is processor 0

  Initialize positions, velocities, and accelerations.

  Compute initial forces and energies.

  Initial Total energy = 124406

      Step      Pot Energy      Kin Energy     (P+K-E0)/E0

         1          124406               0               0
         2          124406       2.095e-06     1.68399e-11
         3          124406      1.8855e-05      1.6839e-11
         4          124406     5.23749e-05     1.68403e-11
         5          124406     0.000102655     1.68398e-11
         6          124406     0.000169695     1.68413e-11
         7          124406     0.000253495     1.68418e-11
         8          124406     0.000354054     1.68433e-11
         9          124406     0.000471374     1.68424e-11
        10          124406     0.000605454     1.68423e-11
        11          124406     0.000756294     1.68405e-11
        12          124406     0.000923894     1.68406e-11
        13          124406      0.00110825     1.68388e-11
        14          124406      0.00130937     1.68364e-11
        15          124406      0.00152726     1.68362e-11
        16          124406       0.0017619     1.68349e-11
        17          124406       0.0020133     1.68319e-11
        18          124406      0.00228146     1.68372e-11
        19          124406      0.00256638     1.68329e-11
        20          124406      0.00286806     1.68315e-11
        21          124406       0.0031865      1.6828e-11
        22          124406      0.00352171     1.68253e-11
        23          124406      0.00387367     1.68219e-11
        24          124406      0.00424239     1.68204e-11
        25          124406      0.00462788     1.68197e-11
        26          124406      0.00503012      1.6814e-11
        27          124406      0.00544913     1.68072e-11
        28          124406       0.0058849     1.68048e-11
        29          124406      0.00633743     1.68024e-11
        30          124406      0.00680671     1.67985e-11
        31          124406      0.00729276      1.6793e-11
        32          124406      0.00779558     1.67874e-11
        33          124406      0.00831515     1.67805e-11
        34          124406      0.00885148     1.67768e-11
        35          124406      0.00940458     1.67706e-11
        36          124406      0.00997444     1.67584e-11
        37          124406       0.0105611     1.67572e-11
        38          124406       0.0111644     1.67511e-11
        39          124406       0.0117846      1.6738e-11
        40          124406       0.0124215       1.673e-11
        41          124406       0.0130751     1.67204e-11
        42          124406       0.0137456     1.67136e-11
        43          124406       0.0144328     1.67007e-11
        44          124406       0.0151367     1.66931e-11
        45          124406       0.0158574     1.66812e-11
        46          124406       0.0165949     1.66701e-11
        47          124406       0.0173492     1.66615e-11
        48          124406       0.0181202     1.66463e-11
        49          124406       0.0189079     1.66349e-11
        50          124406       0.0197125     1.66198e-11
        51          124406       0.0205338     1.66054e-11
        52          124406       0.0213718     1.65897e-11
        53          124406       0.0222266     1.65758e-11
        54          124406       0.0230982     1.65558e-11
        55          124406       0.0239866     1.65429e-11
        56          124406       0.0248917     1.65229e-11
        57          124406       0.0258136     1.65055e-11
        58          124406       0.0267522     1.64892e-11
        59          124406       0.0277076     1.64663e-11
        60          124406       0.0286798     1.64488e-11
        61          124406       0.0296687     1.64268e-11
        62          124406       0.0306744      1.6406e-11
        63          124406       0.0316969     1.63847e-11
        64          124406       0.0327361     1.63626e-11
        65          124406       0.0337921     1.63405e-11
        66          124406       0.0348649     1.63127e-11
        67          124406       0.0359544     1.62916e-11
        68          124406       0.0370607     1.62614e-11
        69          124406       0.0381838     1.62371e-11
        70          124406       0.0393236     1.62052e-11
        71          124406       0.0404802      1.6182e-11
        72          124406       0.0416536     1.61505e-11
        73          124406       0.0428437     1.61232e-11
        74          124406       0.0440506     1.60912e-11
        75          124406       0.0452742     1.60597e-11
        76          124406       0.0465147     1.60264e-11
        77          124406       0.0477719     1.59934e-11
        78          124406       0.0490459     1.59602e-11
        79          124406       0.0503366     1.59266e-11
        80          124406       0.0516441      1.5888e-11
        81          124406       0.0529684     1.58532e-11
        82          124406       0.0543094     1.58119e-11
        83          124406       0.0556672      1.5773e-11
        84          124406       0.0570418      1.5732e-11
        85          124406       0.0584332     1.56931e-11
        86          124406       0.0598413     1.56519e-11
        87          124406       0.0612662     1.56088e-11
        88          124406       0.0627079      1.5564e-11
        89          124406       0.0641663     1.55178e-11
        90          124406       0.0656415     1.54729e-11
        91          124406       0.0671335     1.54259e-11
        92          124406       0.0686422     1.53743e-11
        93          124406       0.0701678     1.53302e-11
        94          124406         0.07171     1.52777e-11
        95          124406       0.0732691      1.5224e-11
        96          124406        0.074845     1.51724e-11
        97          124406       0.0764376     1.51186e-11
        98          124406        0.078047      1.5065e-11
        99          124406       0.0796731     1.50107e-11
       100          124406       0.0813161     1.49538e-11
       101          124406       0.0829758     1.48927e-11
       102          124406       0.0846522     1.48328e-11
       103          124406       0.0863455     1.47732e-11
       104          124406       0.0880555     1.47087e-11
       105          124406       0.0897823     1.46466e-11
       106          124406       0.0915259     1.45834e-11
       107          124406       0.0932863      1.4519e-11
       108          124406       0.0950634     1.44478e-11
       109          124406       0.0968573     1.43842e-11
       110          124406        0.098668      1.4313e-11
       111          124406        0.100495     1.42407e-11
       112          124406         0.10234     1.41722e-11
       113          124406        0.104201     1.40977e-11
       114          124406        0.106079     1.40212e-11
       115          124406        0.107973     1.39451e-11
       116          124406        0.109885      1.3867e-11
       117          124406        0.111813     1.37891e-11
       118          124406        0.113758     1.37072e-11
       119          124406        0.115719     1.36278e-11
       120          124406        0.117698     1.35409e-11
       121          124406        0.119693      1.3462e-11
       122          124406        0.121705     1.33724e-11
       123          124406        0.123734     1.32844e-11
       124          124406        0.125779     1.31964e-11
       125          124406        0.127842     1.31045e-11
       126          124406        0.129921     1.30164e-11
       127          124406        0.132017     1.29225e-11
       128          124406         0.13413     1.28285e-11
       129          124406        0.136259     1.27312e-11
       130          124406        0.138406     1.26324e-11
       131          124406        0.140569      1.2535e-11
       132          124406        0.142748     1.24333e-11
       133          124406        0.144945     1.23314e-11
       134          124406        0.147159     1.22288e-11
       135          124406        0.149389      1.2123e-11
       136          124406        0.151636     1.20132e-11
       137          124406          0.1539     1.19033e-11
       138          124406         0.15618     1.17944e-11
       139          124406        0.158478     1.16846e-11
       140          124406        0.160792     1.15717e-11
       141          124406        0.163123     1.14532e-11
       142          124406         0.16547     1.13382e-11
       143          124406        0.167835     1.12192e-11
       144          124406        0.170216     1.10953e-11
       145          124406        0.172614     1.09751e-11
       146          124406        0.175029     1.08521e-11
       147          124406        0.177461     1.07245e-11
       148          124406        0.179909      1.0599e-11
       149          124406        0.182375      1.0469e-11
       150          124406        0.184857     1.03385e-11
       151          124406        0.187356     1.02079e-11
       152          124406        0.189871     1.00732e-11
       153          124406        0.192404     9.93643e-12
       154          124406        0.194953     9.79852e-12
       155          124406        0.197519     9.66003e-12
       156          124406        0.200102     9.51451e-12
       157          124406        0.202701     9.37169e-12
       158          124406        0.205318     9.22548e-12
       159          124406        0.207951     9.08161e-12
       160          124406        0.210601       8.932e-12
       161          124406        0.213268     8.77877e-12
       162          124406        0.215952     8.62647e-12
       163          124406        0.218652     8.47125e-12
